quote,joy,sadness,anger,surprise,dominant,ambiguous,emotion
Be yourself; everyone else is already taken.,0,0,0,0,joy,True,happy
You've gotta dance like there's nobody watching,1,0,0,0,joy,False,happy
Be the change that you wish to see in the world.,0,0,0,0,joy,True,happy
No one can make you feel inferior without your consent.,0,1,0,0,sadness,False,sad
Live as if you were to die tomorrow. Learn as if you were to live forever.,0,1,0,0,sadness,False,sad
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,1,4,4,0,sadness,True,sad
"Without music, life would be a mistake.",1,2,0,0,sadness,False,sad
We accept the love we think we deserve.,1,0,1,0,joy,False,happy
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",1,0,2,0,anger,False,angry
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,2,0,0,2,joy,False,happy
"We are all in the gutter, but some of us are looking at the stars.",0,0,0,0,joy,True,happy
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",1,0,0,0,joy,False,happy
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",3,0,0,3,joy,False,happy
"I have not failed. I've just found 10,000 ways that won't work.",1,0,0,0,joy,False,happy
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",3,8,6,2,sadness,True,sad
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,1,1,1,0,joy,True,happy
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,0,0,0,0,joy,True,happy
It is never too late to be what you might have been.,0,1,0,0,sadness,False,sad
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",7,1,1,3,joy,False,happy
There is no greater agony than bearing an untold story inside you.,0,1,1,0,sadness,False,sad
Everything you can imagine is real.,0,0,0,0,joy,True,happy
You can never get a cup of tea large enough or a book long enough to suit me.,0,0,0,0,joy,True,happy
"To the well-organized mind, death is but the next great adventure.",0,1,1,1,sadness,True,sad
Life isn't about finding yourself. Life is about creating yourself.,0,0,0,0,joy,True,happy
"Do what you can, with what you have, where you are.",0,0,0,0,joy,True,happy
"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",2,0,0,0,joy,False,happy
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",1,0,0,0,joy,False,happy
"Success is not final, failure is not fatal: it is the courage to continue that counts.",1,2,1,0,sadness,False,sad
"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",1,0,0,0,joy,False,happy
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",1,0,0,1,joy,False,happy
"And, when you want something, all the universe conspires in helping you to achieve it.",1,0,0,0,joy,False,happy
"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",7,3,6,0,joy,True,happy
"It’s no use going back to yesterday, because I was a different person then.",0,0,0,0,joy,True,happy
"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.",0,1,1,0,sadness,False,sad
It's the possibility of having a dream come true that makes life interesting.,1,0,0,0,joy,False,happy
"A person's a person, no matter how small.",0,0,0,0,joy,True,happy
"He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.",9,2,3,6,joy,True,happy
"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.",5,5,3,0,joy,True,happy
"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.",1,0,0,0,joy,False,happy
Well-behaved women seldom make history.,0,0,0,0,joy,True,happy
"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",1,2,1,0,sadness,False,sad
"So we beat on, boats against the current, borne back ceaselessly into the past.",0,0,0,0,joy,True,happy
"Nothing is impossible, the word itself says 'I'm possible'!",0,1,0,0,sadness,False,sad
"I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.",1,1,0,0,joy,False,happy
Do what you feel in your heart to be right – for you’ll be criticized anyway.,0,0,0,0,joy,True,happy
"[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!",0,5,4,1,sadness,False,sad
Happiness is not something ready made. It comes from your own actions.,1,0,0,0,joy,False,happy
Peace begins with a smile..,2,0,0,1,joy,False,happy
"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",0,1,0,0,sadness,False,sad
"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.",1,0,0,0,joy,False,happy
"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.",2,0,0,1,joy,False,happy
What lies behind us and what lies before us are tiny matters compared to what lies within us.,0,0,0,0,joy,True,happy
"For attractive lips, speak words of kindness",0,0,1,0,anger,False,angry
"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.",2,1,0,1,joy,False,happy
"Whatever you are, be a good one.",1,0,0,1,joy,False,happy
"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.",2,0,0,1,joy,False,happy
"Two wrongs don't make a right, but they make a good excuse.",1,0,0,1,joy,False,happy
First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.,0,1,2,0,anger,False,angry
May you live every day of your life.,0,0,0,0,joy,True,happy
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,4,2,2,3,joy,True,happy
Who controls the past controls the future. Who controls the present controls the past.,1,0,0,1,joy,False,happy
You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,0,0,0,0,joy,True,happy
Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,0,0,0,0,joy,True,happy
"If my life is going to mean anything, I have to live it myself.",0,0,0,0,joy,True,happy
"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",0,0,0,0,joy,True,happy
Hope is the thing with feather,1,0,0,1,joy,False,happy
"And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.",0,0,4,0,anger,False,angry
"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",3,1,0,0,joy,False,happy
Always do what you are afraid to do.,0,0,0,0,joy,True,happy
Pain is inevitable. Suffering is optional.,0,2,0,0,sadness,False,sad
Our lives begin to end the day we become silent about things that matter.,0,0,0,0,joy,True,happy
If you're reading this..,0,0,0,0,joy,True,happy
"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life",2,3,1,0,sadness,False,sad
"In the end, we will remember not the words of our enemies, but the silence of our friends.",0,0,1,0,anger,False,angry
"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.",1,3,2,1,sadness,True,sad
Talent hits a target no one else can hit. Genius hits a target no one else can see.,0,0,1,0,anger,False,angry
It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.,0,2,0,2,sadness,False,sad
"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..",0,2,2,0,sadness,False,sad
Fantasy is hardly an escape from reality. It's a way of understanding it.,0,0,0,0,joy,True,happy
Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.,1,3,2,0,sadness,False,sad
"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.",1,3,0,0,sadness,False,sad
"Do not go where the path may lead, go instead where there is no path and leave a trail.",0,1,0,1,sadness,False,sad
I can be changed by what happens to me. But I refuse to be reduced by it,0,0,0,0,joy,True,happy
Never let your sense of morals prevent you from doing what is right.,1,0,1,1,joy,True,happy
Hell is empty and all the devils are here.,0,1,1,0,sadness,False,sad
"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",0,0,0,0,joy,True,happy
"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.",3,2,0,0,joy,False,happy
I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,1,1,3,0,anger,False,angry
Turn your wounds into wisdom.,0,0,0,0,joy,True,happy
"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.",0,1,0,0,sadness,False,sad
"If you remember me, then I don't care if everyone else forgets.",0,0,0,0,joy,True,happy
Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,0,1,2,0,anger,False,angry
Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,3,0,0,1,joy,False,happy
It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,1,1,1,0,joy,True,happy
"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.",2,1,2,1,joy,True,happy
The future belongs to those who believe in the beauty of their dreams.,1,0,0,0,joy,False,happy
"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.",2,0,0,0,joy,False,happy
"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",1,2,1,0,sadness,False,sad
"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?",3,1,0,1,joy,False,happy
"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.",4,1,0,2,joy,False,happy
"I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.",0,1,2,1,anger,False,angry
Don't judge each day by the harvest you reap but by the seeds that you plant.,1,0,0,0,joy,False,happy
"But I know, somehow, that only when it is dark enough can you see the stars.",0,1,0,0,sadness,False,sad
None but ourselves can free our minds.,0,0,0,0,joy,True,happy
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,0,0,0,0,joy,True,happy
"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",0,0,0,0,joy,True,happy
"Simplicity, patience, compassion",0,0,0,0,joy,True,happy
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.",0,0,0,0,joy,True,happy
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",0,0,1,0,anger,False,angry
"People say nothing is impossible, but I do nothing every day.",0,1,0,0,sadness,False,sad
"Instead of worrying about what you cannot control, shift your energy to what you can create.",1,1,0,0,joy,False,happy
A woman's heart should be so hidden in God that a man has to seek Him just to find her.,1,0,0,0,joy,False,happy
It's kind of fun to do the impossible.,2,1,0,0,joy,False,happy
"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",0,0,0,0,joy,True,happy
